model,num_rows,num_cols,acc,std
LR,2,-3,0.688622754491018,0.014635820757271602
LR,6,-3,0.8353293413173652,0.011722491886780147
LR,10,-3,0.9161676646706587,0.008759437603832495
CatBoost,2,-3,0.6846307385229541,0.014686585532310451
CatBoost,6,-3,0.7654690618762475,0.013392043546680575
CatBoost,10,-3,0.8622754491017964,0.010892100858740464
R_Forest,2,-3,0.6616766467065869,0.014954498483226669
R_Forest,6,-3,0.8193612774451098,0.012159790868048389
R_Forest,10,-3,0.8882235528942116,0.009959080765236659
KNN,2,-3,0.6976047904191617,0.014516942005746285
KNN,6,-3,0.843313373253493,0.01148929605421874
KNN,10,-3,0.9271457085828343,0.008214564174360907
TabNet,2,-3,0.5269461077844312,0.015780522247152564
TabNet,6,-3,0.6766467065868264,0.014784362133292709
TabNet,10,-3,0.7604790419161677,0.01348957745900193
FTTransformer,2,-3,0.6706586826347305,0.014854459232240538
FTTransformer,6,-3,0.8173652694610778,0.012211885832430353
FTTransformer,10,-3,0.8932135728542914,0.009761546922739143
