model,num_rows,num_cols,acc,std
SVC,2,-3,0.4880239520958084,0.015798954627103883
SVC,6,-3,0.5209580838323353,0.015789599338640676
SVC,10,-3,0.4740518962075848,0.01578219307609962
LR,2,-3,0.4880239520958084,0.015798954627103883
LR,6,-3,0.5179640718562875,0.01579328541684991
LR,10,-3,0.47704590818363274,0.01578682633663596
CatBoost,2,-3,0.5099800399201597,0.015800340124666207
CatBoost,6,-3,0.5239520958083832,0.015785345101910177
CatBoost,10,-3,0.47305389221556887,0.01578052224715256
R_Forest,2,-3,0.5149700598802395,0.015796403734275908
R_Forest,6,-3,0.5259481037924152,0.01578219307609962
R_Forest,10,-3,0.47105788423153694,0.015776990856761958
KNN,2,-3,0.5049900199600799,0.015802701488241543
KNN,6,-3,0.5279441117764471,0.01577878818099048
KNN,10,-3,0.49001996007984033,0.015800340124666207
STUNT,2,-3,0.4940119760479042,0.01580235517699843
STUNT,6,-3,0.5219560878243513,0.015788244409873555
STUNT,10,-3,0.4720558882235529,0.01577878818099048
TabNet,2,-3,0.4820359281437126,0.015793285416849913
TabNet,6,-3,0.49500998003992014,0.015802701488241543
TabNet,10,-3,0.5039920159680639,0.01580298482815926
FTTransformer,2,-3,0.47604790419161674,0.015785345101910177
FTTransformer,6,-3,0.5039920159680639,0.01580298482815926
FTTransformer,10,-3,0.49101796407185627,0.01580093837014778
