Model,num_rows,num_cols,acc,std
LR,5,-3,0.807,0.012486268734370046
LR,10,-3,0.925,0.008333333333333333
LR,15,-3,0.97,0.0053971408290991564
CatBoost,5,-3,0.817,0.012233587399477745
CatBoost,10,-3,0.881,0.01024421514533661
CatBoost,15,-3,0.921,0.008534156773333369
R_Forest,5,-3,0.802,0.012607733934175283
R_Forest,10,-3,0.91,0.009054390204866477
R_Forest,15,-3,0.951,0.006829761756140959
KNN,5,-3,0.886,0.010055103435823278
KNN,10,-3,0.971,0.005309160685756948
KNN,15,-3,0.988,0.0034449771940998205
TabNet,5,-3,0.6,0.015499685165842571
TabNet,10,-3,0.742,0.013842963108656603
TabNet,15,-3,0.816,0.012259457340938642
FTTransformer,5,-3,0.819,0.012181436179178025
FTTransformer,10,-3,0.907,0.009188875634996669
FTTransformer,15,-3,0.958,0.006346359293033785
