model,num_rows,num_cols,acc,std
SVC,2,-3,0.7445109780439122,0.013784932254412815
SVC,6,-3,0.8333333333333334,0.01177922487900366
SVC,10,-3,0.9261477045908184,0.008266184371758757
LR,2,-3,0.7455089820359282,0.013767200294022985
LR,6,-3,0.8213572854291418,0.012107143023414885
LR,10,-3,0.9291417165668663,0.008109970128585978
CatBoost,2,-3,0.779441117764471,0.013104996023721689
CatBoost,6,-3,0.8343313373253493,0.011750934958965337
CatBoost,10,-3,0.8902195608782435,0.009880843245631724
R_Forest,2,-3,0.7674650698602794,0.013352308873463926
R_Forest,6,-3,0.8283433133732535,0.011918415160713706
R_Forest,10,-3,0.9161676646706587,0.008759437603832495
KNN,2,-3,0.7455089820359282,0.013767200294022985
KNN,6,-3,0.8842315369261478,0.01011255962500104
KNN,10,-3,0.9780439121756487,0.00463169142607043
STUNT,2,-3,0.7465069860279441,0.013749373097666677
STUNT,6,-3,0.846307385229541,0.011399177763408928
STUNT,10,-3,0.9201596806387226,0.008566939378520861
TabNet,2,-3,0.4720558882235529,0.01577878818099048
TabNet,6,-3,0.6067864271457086,0.015438856844882574
TabNet,10,-3,0.7594810379241517,0.013508778769894451
FTTransformer,2,-3,0.7275449101796407,0.014072145840730067
FTTransformer,6,-3,0.8173652694610778,0.012211885832430353
FTTransformer,10,-3,0.906187624750499,0.009215567633777913
