model,num_rows,num_cols,acc,std
SVC,2,-3,0.5538922155688623,0.015711421970043275
SVC,6,-3,0.4820359281437126,0.01579328541684991
SVC,10,-3,0.49500998003992014,0.015802701488241543
LR,2,-3,0.5548902195608783,0.01570797006213997
LR,6,-3,0.48403193612774453,0.015795427357648825
LR,10,-3,0.48502994011976047,0.015796403734275904
CatBoost,2,-3,0.5349301397205589,0.015764877227086707
CatBoost,6,-3,0.47105788423153694,0.01577699085676196
CatBoost,10,-3,0.4810379241516966,0.015792119827017913
R_Forest,2,-3,0.5239520958083832,0.015785345101910177
R_Forest,6,-3,0.47105788423153694,0.015776990856761958
R_Forest,10,-3,0.47704590818363274,0.01578682633663596
KNN,2,-3,0.5429141716566867,0.01574517270173982
KNN,6,-3,0.47305389221556887,0.01578052224715256
KNN,10,-3,0.4880239520958084,0.015798954627103883
STUNT,2,-3,0.5439121756487026,0.01574242347711637
STUNT,6,-3,0.4780439121756487,0.015788244409873555
STUNT,10,-3,0.47604790419161674,0.015785345101910177
TabNet,2,-3,0.48902195608782434,0.015799678879621675
TabNet,6,-3,0.5099800399201597,0.015800340124666207
TabNet,10,-3,0.5399201596806387,0.015753038520502763
FTTransformer,2,-3,0.5109780439121756,0.015799678879621675
FTTransformer,6,-3,0.48902195608782434,0.015799678879621675
FTTransformer,10,-3,0.49001996007984033,0.015800340124666207
