Model,num_rows,num_cols,acc,std
LR,1,-3,0.532,0.015786868759359005
LR,2,-3,0.552,0.01573351656634789
LR,3,-3,0.523,0.015802554246726087
LR,6,-3,0.519,0.015807874268505835
CatBoost,1,-3,0.532,0.015786868759359005
CatBoost,2,-3,0.504,0.01581879370351084
CatBoost,3,-3,0.512,0.01581474331458169
CatBoost,6,-3,0.533,0.015784807891138876
R_Forest,1,-3,0.532,0.015786868759359005
R_Forest,2,-3,0.52,0.015806639423035177
R_Forest,3,-3,0.506,0.015818160898606833
R_Forest,6,-3,0.523,0.015802554246726087
KNN,1,-3,0.532,0.015786868759359005
KNN,2,-3,0.539,0.015771104201283043
KNN,3,-3,0.524,0.015801065586651862
KNN,6,-3,0.521,0.015805341148131185
TabNet,1,-3,0.532,0.015786868759359005
TabNet,2,-3,0.463,0.015775927227262426
TabNet,3,-3,0.521,0.015805341148131185
TabNet,6,-3,0.506,0.015818160898606833
FTTransformer,1,-3,0.532,0.015786868759359005
FTTransformer,2,-3,0.538,0.015773547629015002
FTTransformer,3,-3,0.528,0.015794475789511517
FTTransformer,6,-3,0.525,0.01579951342999602
