model,num_rows,num_cols,acc,std
LR,2,-3,0.5119760479041916,0.015798954627103883
LR,6,-3,0.5718562874251497,0.015639439947632356
LR,10,-3,0.5818363273453094,0.015590373817547175
CatBoost,2,-3,0.5119760479041916,0.015798954627103883
CatBoost,6,-3,0.5459081836327345,0.015736733901342472
CatBoost,10,-3,0.5598802395209581,0.01568974788599825
R_Forest,2,-3,0.5029940119760479,0.01580320520013866
R_Forest,6,-3,0.5588822355289421,0.015693520820496937
R_Forest,10,-3,0.5808383233532934,0.01559557448553578
KNN,2,-3,0.5089820359281437,0.015800938370147777
KNN,6,-3,0.5429141716566867,0.01574517270173982
KNN,10,-3,0.5528942115768463,0.015714809802683877
TabNet,2,-3,0.48403193612774453,0.015795427357648825
TabNet,6,-3,0.5269461077844312,0.015780522247152564
TabNet,10,-3,0.5349301397205589,0.015764877227086707
FTTransformer,2,-3,0.530938123752495,0.015773206346847018
FTTransformer,6,-3,0.5578842315369261,0.015697229460215355
FTTransformer,10,-3,0.5698602794411177,0.015648471704601676
