model,num_rows,num_cols,acc,std
SVC,2,-3,0.5778443113772455,0.015610783664492403
SVC,6,-3,0.5548902195608783,0.01570797006213997
SVC,10,-3,0.5848303393213573,0.01557437807035469
LR,2,-3,0.5778443113772455,0.015610783664492403
LR,6,-3,0.56187624750499,0.015682008946245093
LR,10,-3,0.6017964071856288,0.015472494737136185
CatBoost,2,-3,0.56187624750499,0.015682008946245093
CatBoost,6,-3,0.5678642714570858,0.01565724405405468
CatBoost,10,-3,0.6227544910179641,0.015319811953696558
R_Forest,2,-3,0.5698602794411177,0.015648471704601676
R_Forest,6,-3,0.564870259481038,0.015669917138636406
R_Forest,10,-3,0.6097804391217565,0.015417864464367067
KNN,2,-3,0.5748502994011976,0.015625404935557703
KNN,6,-3,0.5708582834331337,0.015643988279834847
KNN,10,-3,0.6107784431137725,0.015410731517205577
STUNT,2,-3,0.5798403193612774,0.015600709639725567
STUNT,6,-3,0.5518962075848304,0.01571813360149346
STUNT,10,-3,0.6017964071856288,0.015472494737136185
TabNet,2,-3,0.5069860279441117,0.01580194589028973
TabNet,6,-3,0.5489021956087824,0.015727721197000846
TabNet,10,-3,0.563872255489022,0.01567401225973831
FTTransformer,2,-3,0.5538922155688623,0.015711421970043275
FTTransformer,6,-3,0.593812375249501,0.015522830926415349
FTTransformer,10,-3,0.6117764471057884,0.015403530670443435
TabPFN,2,-3,0.5469061876247505,0.01573379348107781
TabPFN,6,-3,0.562874251497006,0.01567804284568772
TabPFN,10,-3,0.5828343313373253,0.015585107570174943
