model,num_rows,num_cols,acc,std
SVC,2,-3,0.5269461077844312,0.01578052224715256
SVC,6,-3,0.5788423153692615,0.015605779344789406
SVC,10,-3,0.5668662674650699,0.015661533087684396
LR,2,-3,0.5269461077844312,0.015780522247152564
LR,6,-3,0.5838323353293413,0.015579775676918001
LR,10,-3,0.6007984031936128,0.015479020700024472
CatBoost,2,-3,0.5339321357285429,0.015767054580825963
CatBoost,6,-3,0.564870259481038,0.015669917138636406
CatBoost,10,-3,0.5828343313373253,0.015585107570174943
R_Forest,2,-3,0.5319361277445109,0.01577121911560086
R_Forest,6,-3,0.5758483033932136,0.015620596398362338
R_Forest,10,-3,0.591816367265469,0.015534748993012297
KNN,2,-3,0.5249500998003992,0.015783800687913997
KNN,6,-3,0.5698602794411177,0.015648471704601676
KNN,10,-3,0.5838323353293413,0.015579775676918003
STUNT,2,-3,0.5279441117764471,0.01577878818099048
STUNT,6,-3,0.5728542914171657,0.015634826651347467
STUNT,10,-3,0.563872255489022,0.01567401225973831
TabNet,2,-3,0.501996007984032,0.015803362606813944
TabNet,6,-3,0.5359281437125748,0.015762636447675463
TabNet,10,-3,0.5518962075848304,0.01571813360149346
FTTransformer,2,-3,0.5299401197604791,0.015775130252845267
FTTransformer,6,-3,0.5848303393213573,0.01557437807035469
FTTransformer,10,-3,0.5828343313373253,0.015585107570174943
TabPFN,2,-3,0.5299401197604791,0.015775130252845267
TabPFN,6,-3,0.5778443113772455,0.015610783664492403
TabPFN,10,-3,0.5878243512974052,0.015557790282707543
