model,num_rows,num_cols,acc,std
LR,2,-3,0.7954091816367266,0.012750327233454024
LR,6,-3,0.8972055888223552,0.009598728281583055
LR,10,-3,0.8962075848303394,0.009639845595226598
CatBoost,2,-3,0.7375249500998003,0.013906419725095199
CatBoost,6,-3,0.8692614770459082,0.01065515974261923
CatBoost,10,-3,0.874251497005988,0.010479789644729476
R_Forest,2,-3,0.7335329341317365,0.013973800541522257
R_Forest,6,-3,0.8852295409181636,0.010074557265700612
R_Forest,10,-3,0.8992015968063872,0.009515646986393568
KNN,2,-3,0.811377245508982,0.012364922954049472
KNN,6,-3,0.8592814371257484,0.01099072576693518
KNN,10,-3,0.8822355289421158,0.010187846102397447
TabNet,2,-3,0.48003992015968067,0.015790891139191552
TabNet,6,-3,0.6157684630738522,0.015374046365738017
TabNet,10,-3,0.7045908183632734,0.01441993974949504
FTTransformer,2,-3,0.781437125748503,0.013062255614123183
FTTransformer,6,-3,0.8862275449101796,0.010036311872229685
FTTransformer,10,-3,0.8892215568862275,0.00992008928808494
