model,num_rows,num_cols,acc,std
SVC,2,-3,0.8682634730538922,0.010689609285077617
SVC,6,-3,0.9201596806387226,0.008566939378520861
SVC,10,-3,0.9481037924151696,0.0070109797735949
LR,2,-3,0.8642714570858283,0.010825392207034875
LR,6,-3,0.9281437125748503,0.008162495638441491
LR,10,-3,0.9530938123752495,0.006682913724672106
CatBoost,2,-3,0.8622754491017964,0.010892100858740464
CatBoost,6,-3,0.9291417165668663,0.008109970128585978
CatBoost,10,-3,0.9461077844311377,0.007137009721317421
R_Forest,2,-3,0.8772455089820359,0.01037199342967298
R_Forest,6,-3,0.9211576846307385,0.008517843097019922
R_Forest,10,-3,0.9481037924151696,0.0070109797735949
KNN,2,-3,0.8582834331337326,0.011023224123269669
KNN,6,-3,0.9051896207584831,0.00925935395122158
KNN,10,-3,0.9441117764471058,0.007260304263802788
STUNT,2,-3,0.8393213572854291,0.011607165467924303
STUNT,6,-3,0.9211576846307385,0.008517843097019922
STUNT,10,-3,0.9461077844311377,0.007137009721317421
TabNet,2,-3,0.5109780439121756,0.015799678879621675
TabNet,6,-3,0.6037924151696606,0.01545924145638595
TabNet,10,-3,0.717564870259481,0.014228951618612328
FTTransformer,2,-3,0.8672654690618763,0.010723855377642847
FTTransformer,6,-3,0.9211576846307385,0.008517843097019922
FTTransformer,10,-3,0.9461077844311377,0.007137009721317422
TabPFN,2,-3,0.9011976047904192,0.009431411897486537
TabPFN,6,-3,0.9401197604790419,0.007499223831690383
TabPFN,10,-3,0.9600798403193613,0.006187750179138747
