model,num_rows,num_cols,acc,std
LR,2,-3,0.5528942115768463,0.015714809802683877
LR,6,-3,0.5708582834331337,0.015643988279834847
LR,10,-3,0.6087824351297405,0.015424929606124302
CatBoost,2,-3,0.5688622754491018,0.01565289027770674
CatBoost,6,-3,0.5678642714570858,0.01565724405405468
CatBoost,10,-3,0.5748502994011976,0.0156254049355577
R_Forest,2,-3,0.5538922155688623,0.015711421970043275
R_Forest,6,-3,0.563872255489022,0.01567401225973831
R_Forest,10,-3,0.5728542914171657,0.015634826651347467
KNN,2,-3,0.5369261477045908,0.01576033221553894
KNN,6,-3,0.5668662674650699,0.015661533087684396
KNN,10,-3,0.5598802395209581,0.01568974788599825
TabNet,2,-3,0.5039920159680639,0.01580298482815926
TabNet,6,-3,0.5109780439121756,0.015799678879621675
TabNet,10,-3,0.5269461077844312,0.01578052224715256
FTTransformer,2,-3,0.5568862275449101,0.015700873850713934
FTTransformer,6,-3,0.5678642714570858,0.01565724405405468
FTTransformer,10,-3,0.5848303393213573,0.01557437807035469
