model,num_rows,num_cols,acc,std
SVC,2,-3,0.48502994011976047,0.015796403734275904
SVC,6,-3,0.5129740518962076,0.015798167358447277
SVC,10,-3,0.49101796407185627,0.015800938370147777
LR,2,-3,0.48003992015968067,0.015790891139191552
LR,6,-3,0.501996007984032,0.015803362606813944
LR,10,-3,0.48902195608782434,0.015799678879621675
CatBoost,2,-3,0.5119760479041916,0.015798954627103883
CatBoost,6,-3,0.5,0.01580348853102535
CatBoost,10,-3,0.4820359281437126,0.015793285416849913
R_Forest,2,-3,0.49201596806387227,0.015801473623221905
R_Forest,6,-3,0.4930139720558882,0.01580194589028973
R_Forest,10,-3,0.4820359281437126,0.015793285416849913
KNN,2,-3,0.47105788423153694,0.015776990856761958
KNN,6,-3,0.501996007984032,0.015803362606813944
KNN,10,-3,0.48403193612774453,0.015795427357648825
STUNT,2,-3,0.48303393213572854,0.01579438792265701
STUNT,6,-3,0.5069860279441117,0.01580194589028973
STUNT,10,-3,0.500998003992016,0.015803457050066565
TabNet,2,-3,0.49201596806387227,0.015801473623221905
TabNet,6,-3,0.5139720558882236,0.01579731706423051
TabNet,10,-3,0.5039920159680639,0.01580298482815926
FTTransformer,2,-3,0.48602794411177647,0.01579731706423051
FTTransformer,6,-3,0.5029940119760479,0.01580320520013866
FTTransformer,10,-3,0.4870259481037924,0.015798167358447277
