model,num_rows,num_cols,acc,std
LR,2,-3,0.6177644710578842,0.015358894287113706
LR,6,-3,0.7085828343313373,0.014362691750086332
LR,10,-3,0.7514970059880239,0.01365879545515541
CatBoost,2,-3,0.5748502994011976,0.0156254049355577
CatBoost,6,-3,0.6756487025948104,0.01479623616573106
CatBoost,10,-3,0.7295409181636726,0.01403972410824168
R_Forest,2,-3,0.6017964071856288,0.015472494737136185
R_Forest,6,-3,0.6786427145708582,0.014760383179956264
R_Forest,10,-3,0.7395209580838323,0.013872176230326582
KNN,2,-3,0.6217564870259481,0.01532776622504566
KNN,6,-3,0.7045908183632734,0.01441993974949504
KNN,10,-3,0.7395209580838323,0.013872176230326582
TabNet,2,-3,0.49700598802395207,0.015803205200138656
TabNet,6,-3,0.5898203592814372,0.015546401913179379
TabNet,10,-3,0.5868263473053892,0.01556338544299269
FTTransformer,2,-3,0.6007984031936128,0.01547902070002447
FTTransformer,6,-3,0.6946107784431138,0.014557291306544007
FTTransformer,10,-3,0.7504990019960079,0.013677104474712177
