model,num_rows,num_cols,acc,std
SVC,2,-3,0.6137724550898204,0.015388924895956231
SVC,6,-3,0.7135728542914171,0.014289242578120115
SVC,10,-3,0.7415169660678643,0.013837560371118522
LR,2,-3,0.6107784431137725,0.015410731517205577
LR,6,-3,0.7145708582834331,0.01427429827292139
LR,10,-3,0.7504990019960079,0.013677104474712177
CatBoost,2,-3,0.5958083832335329,0.015510647102189124
CatBoost,6,-3,0.6746506986027944,0.014808033482604434
CatBoost,10,-3,0.719560878243513,0.014198289661632548
R_Forest,2,-3,0.6067864271457086,0.015438856844882574
R_Forest,6,-3,0.6946107784431138,0.014557291306544007
R_Forest,10,-3,0.7375249500998003,0.013906419725095199
KNN,2,-3,0.6197604790419161,0.015343467849674558
KNN,6,-3,0.7065868263473054,0.014391482495258678
KNN,10,-3,0.7435129740518962,0.013802569345880956
STUNT,2,-3,0.6067864271457086,0.015438856844882574
STUNT,6,-3,0.6966067864271457,0.01453047270029082
STUNT,10,-3,0.7315369261477046,0.014006943184460328
TabNet,2,-3,0.5069860279441117,0.01580194589028973
TabNet,6,-3,0.5319361277445109,0.01577121911560086
TabNet,10,-3,0.5978043912175649,0.015498196893561843
FTTransformer,2,-3,0.6097804391217565,0.015417864464367067
FTTransformer,6,-3,0.6956087824351297,0.014543922392384057
FTTransformer,10,-3,0.7355289421157685,0.013940293599497349
TabPFN,2,-3,0.5948103792415169,0.015516772272812202
TabPFN,6,-3,0.7235528942115769,0.014135921590416987
TabPFN,10,-3,0.7604790419161677,0.01348957745900193
