Model,num_rows,num_cols,acc,std
LR,5,-3,0.582,0.015605111967541902
LR,10,-3,0.648,0.01511040450564856
LR,15,-3,0.664,0.014944140233794895
CatBoost,5,-3,0.589,0.015566673418599151
CatBoost,10,-3,0.621,0.015349091002225332
CatBoost,15,-3,0.676,0.014806864733738987
R_Forest,5,-3,0.581,0.015610338967577953
R_Forest,10,-3,0.617,0.015380102325652699
R_Forest,15,-3,0.627,0.015300493622922927
KNN,5,-3,0.587,0.015577986829936455
KNN,10,-3,0.624,0.015325105508898101
KNN,15,-3,0.652,0.015070604603768327
TabNet,5,-3,0.526,0.015797897758042797
TabNet,10,-3,0.554,0.015726771166750392
TabNet,15,-3,0.547,0.015749255189977687
FTTransformer,5,-3,0.595,0.01553113699045296
FTTransformer,10,-3,0.602,0.015486634102859014
FTTransformer,15,-3,0.638,0.015204840912919385
LR,3,-3,0.556,0.015719768163402127
CatBoost,3,-3,0.569,0.01566794448817344
R_Forest,3,-3,0.554,0.015726771166750392
KNN,3,-3,0.588,0.015572363292015074
TabNet,3,-3,0.509,0.0158167369950053
FTTransformer,3,-3,0.546,0.01575221038877186
