Model,num_rows,num_cols,acc,std
LR,10,-3,0.513,0.01581395210189664
CatBoost,10,-3,0.52,0.015806639423035177
R_Forest,10,-3,0.512,0.01581474331458169
KNN,10,-3,0.529,0.015792669451628764
FTTransformer,10,-3,0.511,0.015815471195292575
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.516,0.015811198373114985
CatBoost,10,-3,5,0.517,0.015810153729833274
R_Forest,10,-3,5,0.532,0.015786868759359005
KNN,10,-3,5,0.525,0.01579951342999602
FTTransformer,10,-3,5,0.541,0.015766025737882314
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.497,0.015819015179246818
CatBoost,10,-3,3,0.525,0.01579951342999602
R_Forest,10,-3,3,0.521,0.015805341148131185
KNN,10,-3,3,0.526,0.0157978977580428
FTTransformer,10,-3,3,0.517,0.015810153729833274
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.506,0.015818160898606836
CatBoost,10,-3,1,0.509,0.015816736995005295
R_Forest,10,-3,1,0.509,0.015816736995005295
KNN,10,-3,1,0.505,0.015818508944436743
FTTransformer,10,-3,1,0.512,0.01581474331458169
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.497,0.015819015179246818
CatBoost,10,-3,4,0.517,0.015810153729833274
R_Forest,10,-3,4,0.516,0.015811198373114985
KNN,10,-3,4,0.517,0.015810153729833274
FTTransformer,10,-3,4,0.525,0.01579951342999602
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.513,0.01581395210189664
CatBoost,10,-3,2,0.52,0.015806639423035177
R_Forest,10,-3,2,0.512,0.01581474331458169
KNN,10,-3,2,0.529,0.015792669451628764
FTTransformer,10,-3,2,0.511,0.015815471195292575
