Model,num_rows,num_cols,acc,std
LR,5,-3,0.523,0.015802554246726087
LR,10,-3,0.53,0.015790799515836722
LR,15,-3,0.534,0.015782683329937694
CatBoost,5,-3,0.513,0.01581395210189664
CatBoost,10,-3,0.54,0.0157685969143944
CatBoost,15,-3,0.55,0.015740004693383918
R_Forest,5,-3,0.502,0.01581917337430266
R_Forest,10,-3,0.525,0.01579951342999602
R_Forest,15,-3,0.547,0.015749255189977687
KNN,5,-3,0.514,0.01581309754773093
KNN,10,-3,0.515,0.01581217964181488
KNN,15,-3,0.525,0.01579951342999602
TabNet,5,-3,0.503,0.015819015179246818
TabNet,10,-3,0.541,0.015766025737882314
TabNet,15,-3,0.521,0.015805341148131185
FTTransformer,5,-3,0.517,0.015810153729833274
FTTransformer,10,-3,0.562,0.015697210019694662
FTTransformer,15,-3,0.548,0.01574623586588058
LR,3,-3,0.516,0.015811198373114985
CatBoost,3,-3,0.521,0.015805341148131185
R_Forest,3,-3,0.522,0.01580397942816194
KNN,3,-3,0.538,0.015773547629015002
TabNet,3,-3,0.498,0.01581917337430266
FTTransformer,3,-3,0.546,0.015752210388771858
