Model,num_rows,num_cols,acc,std
LR,5,-3,0.656,0.015029633724408917
LR,10,-3,0.718,0.01423652621529138
LR,15,-3,0.758,0.013550631705556005
CatBoost,5,-3,0.659,0.014998131348402837
CatBoost,10,-3,0.685,0.014696631960792617
CatBoost,15,-3,0.769,0.013334797216936475
R_Forest,5,-3,0.636,0.015222868840522007
R_Forest,10,-3,0.692,0.01460648312734278
R_Forest,15,-3,0.742,0.013842963108656603
KNN,5,-3,0.703,0.01445683229480096
KNN,10,-3,0.721,0.014190150117611877
KNN,15,-3,0.713,0.014312087053810001
TabNet,5,-3,0.553,0.0157301760460091
TabNet,10,-3,0.563,0.015693223928730425
TabNet,15,-3,0.605,0.015466551464829328
FTTransformer,5,-3,0.666,0.014922019523732927
FTTransformer,10,-3,0.729,0.014062601350986123
FTTransformer,15,-3,0.744,0.013807775152234145
