model,num_rows,num_cols,acc,std
LR,2,-3,0.8502994011976048,0.011276664682176432
LR,6,-3,0.9570858283433133,0.006405584595779948
LR,10,-3,0.9840319361277445,0.003961992859787364
CatBoost,2,-3,0.8283433133732535,0.011918415160713706
CatBoost,6,-3,0.935129740518962,0.007784697001713827
CatBoost,10,-3,0.9540918163672655,0.0066148972359995764
R_Forest,2,-3,0.8013972055888223,0.012609548911024122
R_Forest,6,-3,0.9540918163672655,0.006614897235999576
R_Forest,10,-3,0.9670658682634731,0.005640714231925049
KNN,2,-3,0.873253493013972,0.010515286904986213
KNN,6,-3,0.9500998003992016,0.006882064143389334
KNN,10,-3,0.9740518962075848,0.005024893048796301
TabNet,2,-3,0.5698602794411177,0.015648471704601676
TabNet,6,-3,0.5898203592814372,0.015546401913179379
TabNet,10,-3,0.7035928143712575,0.014434043934811848
FTTransformer,2,-3,0.8243512974051896,0.012027118702635432
FTTransformer,6,-3,0.9191616766467066,0.008615640404006579
FTTransformer,10,-3,0.9600798403193613,0.006187750179138745
