model,num_rows,num_cols,acc,std
SVC,2,-3,0.8792415169660679,0.010299019468243974
SVC,6,-3,0.9590818363273453,0.006261362702433162
SVC,10,-3,0.9870259481037924,0.003576720976070323
LR,2,-3,0.8532934131736527,0.011182964969211347
LR,6,-3,0.9560878243512974,0.006476260844343449
LR,10,-3,0.9900199600798403,0.0031417460360755613
CatBoost,2,-3,0.8572854291417166,0.011055536948777913
CatBoost,6,-3,0.9620758483033932,0.0060373388967115155
CatBoost,10,-3,0.9780439121756487,0.00463169142607043
R_Forest,2,-3,0.8672654690618763,0.010723855377642848
R_Forest,6,-3,0.9650698602794411,0.005803132663566306
R_Forest,10,-3,0.9830339321357285,0.004081857279064243
KNN,2,-3,0.8842315369261478,0.01011255962500104
KNN,6,-3,0.9510978043912176,0.006816473176566893
KNN,10,-3,0.9830339321357285,0.004081857279064243
STUNT,2,-3,0.8413173652694611,0.011548553462595862
STUNT,6,-3,0.9291417165668663,0.008109970128585978
STUNT,10,-3,0.9760479041916168,0.004832705026886325
TabNet,2,-3,0.5768463073852296,0.015615722661696058
TabNet,6,-3,0.626746506986028,0.015287302618365847
TabNet,10,-3,0.7065868263473054,0.01439148249525868
FTTransformer,2,-3,0.8353293413173652,0.011722491886780147
FTTransformer,6,-3,0.9201596806387226,0.008566939378520861
FTTransformer,10,-3,0.9550898203592815,0.00654602207453936
