model,num_rows,num_cols,acc,std
SVC,2,-3,0.5828343313373253,0.015585107570174943
SVC,6,-3,0.6516966067864272,0.01505859814562341
SVC,10,-3,0.6746506986027944,0.014808033482604434
LR,2,-3,0.5838323353293413,0.015579775676918003
LR,6,-3,0.6506986027944112,0.01506860538495732
LR,10,-3,0.6736526946107785,0.014819754267121904
CatBoost,2,-3,0.5518962075848304,0.015718133601493465
CatBoost,6,-3,0.6157684630738522,0.015374046365738017
CatBoost,10,-3,0.6387225548902196,0.015183067122208628
R_Forest,2,-3,0.5828343313373253,0.015585107570174943
R_Forest,6,-3,0.6077844311377245,0.015431927035606568
R_Forest,10,-3,0.6367265469061876,0.015201143923880058
KNN,2,-3,0.6157684630738522,0.015374046365738017
KNN,6,-3,0.6437125748502994,0.015136630346667169
KNN,10,-3,0.6516966067864272,0.01505859814562341
STUNT,2,-3,0.5798403193612774,0.015600709639725567
STUNT,6,-3,0.6716566866267465,0.014842966963112828
STUNT,10,-3,0.7065868263473054,0.014391482495258678
TabNet,2,-3,0.5,0.01580348853102535
TabNet,6,-3,0.5209580838323353,0.015789599338640676
TabNet,10,-3,0.5788423153692615,0.015605779344789406
FTTransformer,2,-3,0.591816367265469,0.015534748993012297
FTTransformer,6,-3,0.656686626746507,0.015007467372007807
FTTransformer,10,-3,0.6736526946107785,0.014819754267121904
TabPFN,2,-3,0.5668662674650699,0.015661533087684396
TabPFN,6,-3,0.6167664670658682,0.015366504570208843
TabPFN,10,-3,0.6307385229540918,0.015253680337935841
