model,num_rows,num_cols,acc,std
LR,2,-3,0.5558882235528942,0.015704454036721882
LR,6,-3,0.6716566866267465,0.014842966963112828
LR,10,-3,0.6826347305389222,0.014711496425377718
CatBoost,2,-3,0.5588822355289421,0.015693520820496937
CatBoost,6,-3,0.6187624750499002,0.015351215414595564
CatBoost,10,-3,0.6317365269461078,0.015245100012587115
R_Forest,2,-3,0.5528942115768463,0.015714809802683877
R_Forest,6,-3,0.6307385229540918,0.01525368033793584
R_Forest,10,-3,0.6606786427145709,0.014965240237298005
KNN,2,-3,0.5808383233532934,0.015595574485535777
KNN,6,-3,0.6447105788423154,0.015127128556099777
KNN,10,-3,0.6606786427145709,0.014965240237298005
TabNet,2,-3,0.4930139720558882,0.01580194589028973
TabNet,6,-3,0.5349301397205589,0.015764877227086707
TabNet,10,-3,0.5698602794411177,0.015648471704601676
FTTransformer,2,-3,0.563872255489022,0.01567401225973831
FTTransformer,6,-3,0.6606786427145709,0.014965240237298005
FTTransformer,10,-3,0.6746506986027944,0.014808033482604434
