Model,num_rows,num_cols,acc,std
LR,5,-3,0.77,0.013314551335936084
LR,10,-3,0.879,0.010318210380946179
LR,15,-3,0.905,0.009276910103103353
CatBoost,5,-3,0.748,0.013736254390651213
CatBoost,10,-3,0.816,0.01225945734093864
CatBoost,15,-3,0.877,0.010391293421849801
R_Forest,5,-3,0.721,0.014190150117611877
R_Forest,10,-3,0.858,0.011043457699378305
R_Forest,15,-3,0.895,0.00969892102602496
KNN,5,-3,0.813,0.012336254828074166
KNN,10,-3,0.884,0.010131468138756924
KNN,15,-3,0.909,0.009099549538400338
TabNet,5,-3,0.563,0.015693223928730425
TabNet,10,-3,0.685,0.014696631960792617
TabNet,15,-3,0.771,0.013294199326613682
FTTransformer,5,-3,0.835,0.011743632866916138
FTTransformer,10,-3,0.857,0.011075814808567074
FTTransformer,15,-3,0.885,0.010093407594904551
