Model,num_rows,num_cols,acc,std
LR,5,-3,0.538,0.015773547629015002
CatBoost,5,-3,0.52,0.015806639423035177
R_Forest,5,-3,0.535,0.015780495050030086
KNN,5,-3,0.529,0.015792669451628764
TabNet,5,-3,0.492,0.015817274929209084
FTTransformer,5,-3,0.526,0.015797897758042797
LR,3,-3,0.508,0.015817274929209084
CatBoost,3,-3,0.526,0.015797897758042797
R_Forest,3,-3,0.498,0.01581917337430266
KNN,3,-3,0.504,0.015818793703510844
TabNet,3,-3,0.501,0.015819268290576817
FTTransformer,3,-3,0.504,0.01581879370351084
