Model,num_rows,num_cols,acc,std
LR,10,-3,0.563,0.015693223928730425
CatBoost,10,-3,0.578,0.015625625112620622
R_Forest,10,-3,0.579,0.015620595475301285
KNN,10,-3,0.601,0.015493193313163008
FTTransformer,10,-3,0.58,0.015615500115072968
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.604,0.015473313265859495
CatBoost,10,-3,5,0.574,0.015645087688113762
R_Forest,10,-3,5,0.615,0.015395194445410945
KNN,10,-3,5,0.617,0.015380102325652699
FTTransformer,10,-3,5,0.611,0.01542455564730851
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.555,0.015723301886761007
CatBoost,10,-3,3,0.552,0.01573351656634789
R_Forest,10,-3,3,0.545,0.015755101498347232
KNN,10,-3,3,0.609,0.015438826294681773
FTTransformer,10,-3,3,0.586,0.015583544104177552
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.517,0.01581015372983327
CatBoost,10,-3,1,0.514,0.01581309754773093
R_Forest,10,-3,1,0.518,0.01580904569940659
KNN,10,-3,1,0.551,0.015736792768752048
FTTransformer,10,-3,1,0.53,0.015790799515836722
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.544,0.01575792855397918
CatBoost,10,-3,4,0.584,0.01559446014414052
R_Forest,10,-3,4,0.578,0.015625625112620622
KNN,10,-3,4,0.604,0.015473313265859497
FTTransformer,10,-3,4,0.574,0.015645087688113762
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.563,0.015693223928730425
CatBoost,10,-3,2,0.578,0.015625625112620622
R_Forest,10,-3,2,0.579,0.015620595475301285
KNN,10,-3,2,0.601,0.015493193313163008
FTTransformer,10,-3,2,0.58,0.015615500115072968
