Model,num_rows,num_cols,acc,std
LR,5,-3,0.676,0.014806864733738987
LR,10,-3,0.711,0.014341711358296287
LR,15,-3,0.741,0.013860415257527861
CatBoost,5,-3,0.64,0.015186527932039985
CatBoost,10,-3,0.676,0.014806864733738987
CatBoost,15,-3,0.709,0.014370995982378034
R_Forest,5,-3,0.65,0.015090650341444127
R_Forest,10,-3,0.7,0.014498627873361335
R_Forest,15,-3,0.726,0.014111099288259692
KNN,5,-3,0.71,0.014356395999905621
KNN,10,-3,0.725,0.0141270865564905
KNN,15,-3,0.725,0.0141270865564905
TabNet,5,-3,0.531,0.015788865959538965
TabNet,10,-3,0.584,0.015594460144140522
TabNet,15,-3,0.596,0.015524980677122439
FTTransformer,5,-3,0.687,0.014671272822977775
FTTransformer,10,-3,0.699,0.01451239503354321
FTTransformer,15,-3,0.729,0.014062601350986123
LR,3,-3,0.624,0.015325105508898101
CatBoost,3,-3,0.61,0.01543172505386673
R_Forest,3,-3,0.585,0.015589035185604594
KNN,3,-3,0.664,0.014944140233794896
TabNet,3,-3,0.524,0.015801065586651862
FTTransformer,3,-3,0.64,0.015186527932039985
