model,num_rows,num_cols,acc,std
SVC,2,-3,0.654690618762475,0.015028139189513226
SVC,6,-3,0.7275449101796407,0.014072145840730067
SVC,10,-3,0.7255489021956087,0.014104210858974044
LR,2,-3,0.6526946107784432,0.01504851813107452
LR,6,-3,0.7325349301397206,0.013990417237896262
LR,10,-3,0.7544910179640718,0.013603281681385098
CatBoost,2,-3,0.6407185628742516,0.015164706319110186
CatBoost,6,-3,0.7095808383233533,0.014348170691954949
CatBoost,10,-3,0.7035928143712575,0.014434043934811848
R_Forest,2,-3,0.6417165668662674,0.015155419095085792
R_Forest,6,-3,0.7335329341317365,0.013973800541522257
R_Forest,10,-3,0.7534930139720559,0.013621884455949251
KNN,2,-3,0.6606786427145709,0.014965240237298005
KNN,6,-3,0.7355289421157685,0.013940293599497349
KNN,10,-3,0.716566866267465,0.014244153064979028
STUNT,2,-3,0.6397205588822356,0.015173922284898115
STUNT,6,-3,0.720558882235529,0.014182828590946656
STUNT,10,-3,0.7724550898203593,0.01325113698516397
TabNet,2,-3,0.499001996007984,0.015803457050066565
TabNet,6,-3,0.5548902195608783,0.01570797006213997
TabNet,10,-3,0.5888223552894212,0.015552129130133905
FTTransformer,2,-3,0.627744510978044,0.015279001669708577
FTTransformer,6,-3,0.7335329341317365,0.013973800541522257
FTTransformer,10,-3,0.719560878243513,0.014198289661632548
TabPFN,2,-3,0.6227544910179641,0.015319811953696557
TabPFN,6,-3,0.7215568862275449,0.01416728041406762
TabPFN,10,-3,0.7514970059880239,0.01365879545515541
