Model,num_rows,num_cols,acc,std
LR,10,-3,0.666,0.014922019523732927
CatBoost,10,-3,0.644,0.01514904265930668
R_Forest,10,-3,0.621,0.015349091002225332
KNN,10,-3,0.687,0.014671272822977775
FTTransformer,10,-3,0.677,0.01479492784334854
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.749,0.013718133516888775
CatBoost,10,-3,5,0.725,0.014127086556490498
R_Forest,10,-3,5,0.753,0.013644675781314012
KNN,10,-3,5,0.722,0.014174516461485273
FTTransformer,10,-3,5,0.725,0.0141270865564905
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.731,0.014029819522568201
CatBoost,10,-3,3,0.682,0.014734079309311905
R_Forest,10,-3,3,0.703,0.01445683229480096
KNN,10,-3,3,0.733,0.013996674851796299
FTTransformer,10,-3,3,0.722,0.014174516461485273
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.532,0.015786868759359005
CatBoost,10,-3,1,0.546,0.01575221038877186
R_Forest,10,-3,1,0.521,0.015805341148131185
KNN,10,-3,1,0.607,0.015452824654081527
FTTransformer,10,-3,1,0.593,0.015543249100255476
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.74,0.01387777332977422
CatBoost,10,-3,4,0.688,0.014658474370509057
R_Forest,10,-3,4,0.725,0.0141270865564905
KNN,10,-3,4,0.732,0.014013292702729519
FTTransformer,10,-3,4,0.711,0.014341711358296287
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.666,0.014922019523732927
CatBoost,10,-3,2,0.644,0.01514904265930668
R_Forest,10,-3,2,0.621,0.015349091002225332
KNN,10,-3,2,0.687,0.014671272822977775
FTTransformer,10,-3,2,0.677,0.01479492784334854
