model,num_rows,num_cols,acc,std
SVC,2,-3,0.656686626746507,0.015007467372007807
SVC,6,-3,0.6806387225548902,0.014736095120971605
SVC,10,-3,0.7554890219560878,0.013584580186412851
LR,2,-3,0.656686626746507,0.015007467372007807
LR,6,-3,0.6746506986027944,0.014808033482604434
LR,10,-3,0.7514970059880239,0.01365879545515541
CatBoost,2,-3,0.6616766467065869,0.014954498483226669
CatBoost,6,-3,0.6746506986027944,0.014808033482604432
CatBoost,10,-3,0.7325349301397206,0.013990417237896263
R_Forest,2,-3,0.6576846307385229,0.01499702125697878
R_Forest,6,-3,0.6616766467065869,0.014954498483226669
R_Forest,10,-3,0.7395209580838323,0.01387217623032658
KNN,2,-3,0.6816367265469062,0.014723834699597227
KNN,6,-3,0.7225548902195609,0.014151644843889056
KNN,10,-3,0.7245508982035929,0.014120110360735866
STUNT,2,-3,0.6387225548902196,0.015183067122208628
STUNT,6,-3,0.7055888223552894,0.014405752684679586
STUNT,10,-3,0.7864271457085829,0.01295344349980852
TabNet,2,-3,0.563872255489022,0.01567401225973831
TabNet,6,-3,0.5748502994011976,0.0156254049355577
TabNet,10,-3,0.6487025948103793,0.015088402116136818
FTTransformer,2,-3,0.6526946107784432,0.01504851813107452
FTTransformer,6,-3,0.6796407185628742,0.014748277883660876
FTTransformer,10,-3,0.7115768463073853,0.014318875929999617
TabPFN,2,-3,0.5958083832335329,0.015510647102189124
TabPFN,6,-3,0.6347305389221557,0.01521893773612106
TabPFN,10,-3,0.716566866267465,0.014244153064979028
