model,num_rows,num_cols,acc,std
SVC,2,-3,0.4880239520958084,0.015798954627103883
SVC,6,-3,0.48902195608782434,0.015799678879621675
SVC,10,-3,0.5109780439121756,0.015799678879621675
LR,2,-3,0.48902195608782434,0.015799678879621675
LR,6,-3,0.49001996007984033,0.015800340124666207
LR,10,-3,0.5039920159680639,0.01580298482815926
CatBoost,2,-3,0.49700598802395207,0.015803205200138656
CatBoost,6,-3,0.499001996007984,0.015803457050066565
CatBoost,10,-3,0.5229540918163673,0.01578682633663596
R_Forest,2,-3,0.49600798403193613,0.01580298482815926
R_Forest,6,-3,0.48303393213572854,0.01579438792265701
R_Forest,10,-3,0.5209580838323353,0.015789599338640676
KNN,2,-3,0.49001996007984033,0.015800340124666207
KNN,6,-3,0.49001996007984033,0.015800340124666207
KNN,10,-3,0.49800399201596807,0.015803362606813944
STUNT,2,-3,0.4870259481037924,0.015798167358447277
STUNT,6,-3,0.48403193612774453,0.015795427357648825
STUNT,10,-3,0.5209580838323353,0.015789599338640676
TabNet,2,-3,0.47005988023952094,0.015775130252845267
TabNet,6,-3,0.48003992015968067,0.015790891139191552
TabNet,10,-3,0.499001996007984,0.015803457050066565
FTTransformer,2,-3,0.49201596806387227,0.015801473623221905
FTTransformer,6,-3,0.4940119760479042,0.01580235517699843
FTTransformer,10,-3,0.5119760479041916,0.015798954627103883
