model,num_rows,num_cols,acc,std
SVC,2,-3,0.47105788423153694,0.015776990856761958
SVC,6,-3,0.5199600798403193,0.015790891139191552
SVC,10,-3,0.5199600798403193,0.015790891139191552
LR,2,-3,0.47105788423153694,0.015776990856761958
LR,6,-3,0.5059880239520959,0.015802355176998434
LR,10,-3,0.5109780439121756,0.015799678879621675
CatBoost,2,-3,0.4820359281437126,0.01579328541684991
CatBoost,6,-3,0.5039920159680639,0.01580298482815926
CatBoost,10,-3,0.5029940119760479,0.01580320520013866
R_Forest,2,-3,0.49800399201596807,0.015803362606813944
R_Forest,6,-3,0.5199600798403193,0.015790891139191552
R_Forest,10,-3,0.5169660678642715,0.01579438792265701
KNN,2,-3,0.47305389221556887,0.01578052224715256
KNN,6,-3,0.5189620758483033,0.015792119827017913
KNN,10,-3,0.500998003992016,0.015803457050066565
STUNT,2,-3,0.468063872255489,0.01577121911560086
STUNT,6,-3,0.5109780439121756,0.015799678879621675
STUNT,10,-3,0.5,0.01580348853102535
TabNet,2,-3,0.5189620758483033,0.015792119827017913
TabNet,6,-3,0.47904191616766467,0.015789599338640676
TabNet,10,-3,0.499001996007984,0.015803457050066565
FTTransformer,2,-3,0.4820359281437126,0.015793285416849913
FTTransformer,6,-3,0.5029940119760479,0.01580320520013866
FTTransformer,10,-3,0.5139720558882236,0.01579731706423051
TabPFN,2,-3,0.47704590818363274,0.01578682633663596
TabPFN,6,-3,0.5069860279441117,0.01580194589028973
TabPFN,10,-3,0.5219560878243513,0.015788244409873555
