model,num_rows,num_cols,acc,std
SVC,2,-3,0.4880239520958084,0.015798954627103883
SVC,6,-3,0.49001996007984033,0.015800340124666207
SVC,10,-3,0.49800399201596807,0.015803362606813948
LR,2,-3,0.4880239520958084,0.015798954627103883
LR,6,-3,0.49500998003992014,0.015802701488241543
LR,10,-3,0.5259481037924152,0.01578219307609962
CatBoost,2,-3,0.5099800399201597,0.015800340124666207
CatBoost,6,-3,0.4940119760479042,0.01580235517699843
CatBoost,10,-3,0.5129740518962076,0.015798167358447277
R_Forest,2,-3,0.5,0.01580348853102535
R_Forest,6,-3,0.5059880239520959,0.015802355176998434
R_Forest,10,-3,0.5089820359281437,0.015800938370147777
KNN,2,-3,0.5139720558882236,0.01579731706423051
KNN,6,-3,0.5169660678642715,0.01579438792265701
KNN,10,-3,0.5079840319361277,0.015801473623221905
STUNT,2,-3,0.49700598802395207,0.015803205200138656
STUNT,6,-3,0.4820359281437126,0.015793285416849913
STUNT,10,-3,0.5109780439121756,0.015799678879621675
TabNet,2,-3,0.49800399201596807,0.015803362606813944
TabNet,6,-3,0.499001996007984,0.015803457050066565
TabNet,10,-3,0.48602794411177647,0.01579731706423051
FTTransformer,2,-3,0.4930139720558882,0.01580194589028973
FTTransformer,6,-3,0.5209580838323353,0.015789599338640676
FTTransformer,10,-3,0.5149700598802395,0.015796403734275908
TabPFN,2,-3,0.5069860279441117,0.01580194589028973
TabPFN,6,-3,0.48303393213572854,0.01579438792265701
TabPFN,10,-3,0.5319361277445109,0.01577121911560086
