model,num_rows,num_cols,acc,std
SVC,2,-3,0.5129740518962076,0.015798167358447277
SVC,6,-3,0.5049900199600799,0.015802701488241543
SVC,10,-3,0.49700598802395207,0.01580320520013866
LR,2,-3,0.5099800399201597,0.015800340124666207
LR,6,-3,0.49201596806387227,0.015801473623221905
LR,10,-3,0.5139720558882236,0.01579731706423051
CatBoost,2,-3,0.4930139720558882,0.01580194589028973
CatBoost,6,-3,0.5029940119760479,0.01580320520013866
CatBoost,10,-3,0.5189620758483033,0.015792119827017913
R_Forest,2,-3,0.47704590818363274,0.01578682633663596
R_Forest,6,-3,0.5069860279441117,0.01580194589028973
R_Forest,10,-3,0.49700598802395207,0.015803205200138656
KNN,2,-3,0.499001996007984,0.015803457050066565
KNN,6,-3,0.48902195608782434,0.015799678879621675
KNN,10,-3,0.5049900199600799,0.015802701488241543
STUNT,2,-3,0.499001996007984,0.015803457050066565
STUNT,6,-3,0.4930139720558882,0.01580194589028973
STUNT,10,-3,0.48902195608782434,0.015799678879621675
TabNet,2,-3,0.49101796407185627,0.015800938370147777
TabNet,6,-3,0.5069860279441117,0.01580194589028973
TabNet,10,-3,0.5139720558882236,0.01579731706423051
FTTransformer,2,-3,0.5089820359281437,0.01580093837014778
FTTransformer,6,-3,0.4940119760479042,0.01580235517699843
FTTransformer,10,-3,0.500998003992016,0.015803457050066565
TabPFN,2,-3,0.47105788423153694,0.015776990856761958
TabPFN,6,-3,0.5,0.01580348853102535
TabPFN,10,-3,0.49700598802395207,0.015803205200138656
