Model,num_rows,num_cols,acc,std
LR,10,-3,0.589,0.015566673418599151
CatBoost,10,-3,0.619,0.01536473478700739
R_Forest,10,-3,0.568,0.01567232023733632
KNN,10,-3,0.652,0.015070604603768327
FTTransformer,10,-3,0.617,0.015380102325652699
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.722,0.014174516461485273
CatBoost,10,-3,5,0.653,0.015060472031706637
R_Forest,10,-3,5,0.702,0.014470846741134585
KNN,10,-3,5,0.72,0.014205696104091546
FTTransformer,10,-3,5,0.689,0.01464559638572269
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.696,0.014553205687950535
CatBoost,10,-3,3,0.646,0.015129868238451812
R_Forest,10,-3,3,0.658,0.015008706182121804
KNN,10,-3,3,0.686,0.014683991951088084
FTTransformer,10,-3,3,0.694,0.0145800060554369
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.555,0.015723301886761007
CatBoost,10,-3,1,0.561,0.01570113134540074
R_Forest,10,-3,1,0.54,0.0157685969143944
KNN,10,-3,1,0.643,0.01515852172148659
FTTransformer,10,-3,1,0.581,0.015610338967577953
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.704,0.014442734941575042
CatBoost,10,-3,4,0.649,0.015100563798316506
R_Forest,10,-3,4,0.69,0.014632638658632763
KNN,10,-3,4,0.681,0.014746404865473359
FTTransformer,10,-3,4,0.678,0.014782913600996744
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.589,0.015566673418599151
CatBoost,10,-3,2,0.619,0.01536473478700739
R_Forest,10,-3,2,0.568,0.01567232023733632
KNN,10,-3,2,0.652,0.015070604603768327
FTTransformer,10,-3,2,0.617,0.015380102325652699
