model,num_rows,num_cols,acc,std
SVC,2,-3,0.6077844311377245,0.015431927035606568
SVC,6,-3,0.6706586826347305,0.014854459232240538
SVC,10,-3,0.6956087824351297,0.014543922392384057
LR,2,-3,0.6047904191616766,0.015452513965826276
LR,6,-3,0.6467065868263473,0.015107909466677052
LR,10,-3,0.6946107784431138,0.014557291306544007
CatBoost,2,-3,0.5868263473053892,0.01556338544299269
CatBoost,6,-3,0.6387225548902196,0.015183067122208628
CatBoost,10,-3,0.687624750499002,0.01464863033288634
R_Forest,2,-3,0.6157684630738522,0.015374046365738017
R_Forest,6,-3,0.6397205588822356,0.015173922284898115
R_Forest,10,-3,0.716566866267465,0.014244153064979028
KNN,2,-3,0.6097804391217565,0.015417864464367066
KNN,6,-3,0.6716566866267465,0.014842966963112828
KNN,10,-3,0.6906187624750499,0.014609963598726874
STUNT,2,-3,0.5858283433133733,0.01556891468213832
STUNT,6,-3,0.654690618762475,0.015028139189513226
STUNT,10,-3,0.7155688622754491,0.014259268525362374
TabNet,2,-3,0.47604790419161674,0.015785345101910177
TabNet,6,-3,0.5109780439121756,0.015799678879621675
TabNet,10,-3,0.5508982035928144,0.0157213934070859
FTTransformer,2,-3,0.593812375249501,0.015522830926415347
FTTransformer,6,-3,0.6606786427145709,0.014965240237298005
FTTransformer,10,-3,0.6956087824351297,0.014543922392384057
TabPFN,2,-3,0.5528942115768463,0.015714809802683877
TabPFN,6,-3,0.6167664670658682,0.015366504570208843
TabPFN,10,-3,0.6726546906187625,0.014831398700726762
