model,num_rows,num_cols,acc,std
SVC,2,-3,0.5219560878243513,0.01578824440987355
SVC,6,-3,0.5079840319361277,0.015801473623221905
SVC,10,-3,0.5209580838323353,0.015789599338640676
LR,2,-3,0.5209580838323353,0.015789599338640676
LR,6,-3,0.5089820359281437,0.015800938370147777
LR,10,-3,0.5069860279441117,0.01580194589028973
CatBoost,2,-3,0.501996007984032,0.015803362606813944
CatBoost,6,-3,0.5049900199600799,0.015802701488241543
CatBoost,10,-3,0.4870259481037924,0.015798167358447277
R_Forest,2,-3,0.5169660678642715,0.01579438792265701
R_Forest,6,-3,0.5079840319361277,0.015801473623221905
R_Forest,10,-3,0.5029940119760479,0.01580320520013866
KNN,2,-3,0.5169660678642715,0.01579438792265701
KNN,6,-3,0.4880239520958084,0.015798954627103883
KNN,10,-3,0.5039920159680639,0.01580298482815926
STUNT,2,-3,0.5279441117764471,0.01577878818099048
STUNT,6,-3,0.49600798403193613,0.01580298482815926
STUNT,10,-3,0.5219560878243513,0.015788244409873555
TabNet,2,-3,0.4930139720558882,0.01580194589028973
TabNet,6,-3,0.46706586826347307,0.01576916853516604
TabNet,10,-3,0.5059880239520959,0.015802355176998434
FTTransformer,2,-3,0.48602794411177647,0.01579731706423051
FTTransformer,6,-3,0.49201596806387227,0.015801473623221905
FTTransformer,10,-3,0.5079840319361277,0.015801473623221905
