Model,num_rows,num_cols,acc,std
LR,10,-3,0.494,0.015818160898606833
CatBoost,10,-3,0.492,0.015817274929209084
R_Forest,10,-3,0.488,0.01581474331458169
KNN,10,-3,0.498,0.01581917337430266
FTTransformer,10,-3,0.496,0.01581879370351084
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.509,0.0158167369950053
CatBoost,10,-3,5,0.516,0.015811198373114985
R_Forest,10,-3,5,0.52,0.015806639423035177
KNN,10,-3,5,0.51,0.015816135752773183
FTTransformer,10,-3,5,0.492,0.015817274929209084
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.498,0.01581917337430266
CatBoost,10,-3,3,0.491,0.015816736995005295
R_Forest,10,-3,3,0.5,0.015819299929208316
KNN,10,-3,3,0.491,0.015816736995005295
FTTransformer,10,-3,3,0.495,0.015818508944436743
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.512,0.01581474331458169
CatBoost,10,-3,1,0.516,0.015811198373114985
R_Forest,10,-3,1,0.509,0.015816736995005295
KNN,10,-3,1,0.514,0.015813097547730935
FTTransformer,10,-3,1,0.514,0.01581309754773093
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.49,0.015816135752773183
CatBoost,10,-3,4,0.51,0.015816135752773183
R_Forest,10,-3,4,0.498,0.01581917337430266
KNN,10,-3,4,0.499,0.015819268290576817
FTTransformer,10,-3,4,0.468,0.015786868759359005
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.494,0.015818160898606833
CatBoost,10,-3,2,0.492,0.015817274929209084
R_Forest,10,-3,2,0.488,0.01581474331458169
KNN,10,-3,2,0.498,0.01581917337430266
FTTransformer,10,-3,2,0.496,0.01581879370351084
