model,num_rows,num_cols,acc,std
SVC,2,-3,0.49101796407185627,0.015800938370147777
SVC,6,-3,0.5179640718562875,0.01579328541684991
SVC,10,-3,0.49001996007984033,0.015800340124666207
LR,2,-3,0.49101796407185627,0.015800938370147777
LR,6,-3,0.5389221556886228,0.0157555332809646
LR,10,-3,0.4750499001996008,0.015783800687913997
CatBoost,2,-3,0.468063872255489,0.01577121911560086
CatBoost,6,-3,0.5259481037924152,0.01578219307609962
CatBoost,10,-3,0.49101796407185627,0.015800938370147777
R_Forest,2,-3,0.48902195608782434,0.015799678879621675
R_Forest,6,-3,0.5369261477045908,0.01576033221553894
R_Forest,10,-3,0.4720558882235529,0.01577878818099048
KNN,2,-3,0.4880239520958084,0.015798954627103883
KNN,6,-3,0.5279441117764471,0.01577878818099048
KNN,10,-3,0.5179640718562875,0.01579328541684991
STUNT,2,-3,0.49800399201596807,0.015803362606813944
STUNT,6,-3,0.5409181636726547,0.01575048019126409
STUNT,10,-3,0.49201596806387227,0.015801473623221905
TabNet,2,-3,0.5219560878243513,0.015788244409873555
TabNet,6,-3,0.5259481037924152,0.01578219307609962
TabNet,10,-3,0.5089820359281437,0.015800938370147777
FTTransformer,2,-3,0.500998003992016,0.015803457050066565
FTTransformer,6,-3,0.530938123752495,0.015773206346847018
FTTransformer,10,-3,0.48602794411177647,0.01579731706423051
