Model,num_rows,num_cols,acc,std
LR,10,-3,0.588,0.015572363292015072
CatBoost,10,-3,0.592,0.015549205052920803
R_Forest,10,-3,0.579,0.015620595475301285
KNN,10,-3,0.638,0.015204840912919385
FTTransformer,10,-3,0.647,0.015120172605483696
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.693,0.014593284892852738
CatBoost,10,-3,5,0.697,0.014539683710535193
R_Forest,10,-3,5,0.708,0.014385511563477433
KNN,10,-3,5,0.733,0.013996674851796299
FTTransformer,10,-3,5,0.698,0.014526080235459494
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.655,0.015039986742055369
CatBoost,10,-3,3,0.653,0.015060472031706637
R_Forest,10,-3,3,0.634,0.0152406127264056
KNN,10,-3,3,0.705,0.014428554438445427
FTTransformer,10,-3,3,0.67,0.014876872027456621
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.562,0.015697210019694662
CatBoost,10,-3,1,0.563,0.015693223928730425
R_Forest,10,-3,1,0.533,0.015784807891138876
KNN,10,-3,1,0.595,0.01553113699045296
FTTransformer,10,-3,1,0.557,0.015716169953204184
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.68,0.014758652303574938
CatBoost,10,-3,4,0.675,0.014818724459095479
R_Forest,10,-3,4,0.672,0.014853842487270312
KNN,10,-3,4,0.69,0.014632638658632765
FTTransformer,10,-3,4,0.725,0.0141270865564905
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.588,0.015572363292015072
CatBoost,10,-3,2,0.592,0.015549205052920803
R_Forest,10,-3,2,0.579,0.015620595475301285
KNN,10,-3,2,0.638,0.015204840912919385
FTTransformer,10,-3,2,0.647,0.015120172605483696
