model,num_rows,num_cols,acc,std
SVC,2,-3,0.5768463073852296,0.015615722661696058
SVC,6,-3,0.6387225548902196,0.015183067122208627
SVC,10,-3,0.6916167664670658,0.014596915594187767
LR,2,-3,0.5738522954091816,0.015630148333457012
LR,6,-3,0.6177644710578842,0.015358894287113706
LR,10,-3,0.6936127744510978,0.014570579665118707
CatBoost,2,-3,0.5848303393213573,0.01557437807035469
CatBoost,6,-3,0.6077844311377245,0.015431927035606568
CatBoost,10,-3,0.7015968063872255,0.014462004635471358
R_Forest,2,-3,0.593812375249501,0.015522830926415349
R_Forest,6,-3,0.6427145708582834,0.01514606048174308
R_Forest,10,-3,0.7155688622754491,0.014259268525362374
KNN,2,-3,0.5988023952095808,0.015491871694932076
KNN,6,-3,0.6576846307385229,0.01499702125697878
KNN,10,-3,0.7095808383233533,0.014348170691954949
STUNT,2,-3,0.5578842315369261,0.015697229460215355
STUNT,6,-3,0.624750499001996,0.01530369595518887
STUNT,10,-3,0.6866267465069861,0.014661360850420094
TabNet,2,-3,0.5259481037924152,0.01578219307609962
TabNet,6,-3,0.5439121756487026,0.01574242347711637
TabNet,10,-3,0.5828343313373253,0.015585107570174941
FTTransformer,2,-3,0.5678642714570858,0.01565724405405468
FTTransformer,6,-3,0.6237524950099801,0.015311788566646785
FTTransformer,10,-3,0.720558882235529,0.014182828590946656
