model,num_rows,num_cols,acc,std
SVC,2,-3,0.49700598802395207,0.015803205200138656
SVC,6,-3,0.4750499001996008,0.015783800687913997
SVC,10,-3,0.501996007984032,0.015803362606813944
LR,2,-3,0.4870259481037924,0.015798167358447277
LR,6,-3,0.47704590818363274,0.01578682633663596
LR,10,-3,0.49500998003992014,0.015802701488241543
CatBoost,2,-3,0.4930139720558882,0.01580194589028973
CatBoost,6,-3,0.500998003992016,0.015803457050066565
CatBoost,10,-3,0.48303393213572854,0.01579438792265701
R_Forest,2,-3,0.5,0.01580348853102535
R_Forest,6,-3,0.48403193612774453,0.015795427357648825
R_Forest,10,-3,0.499001996007984,0.015803457050066565
KNN,2,-3,0.49500998003992014,0.015802701488241543
KNN,6,-3,0.4880239520958084,0.015798954627103883
KNN,10,-3,0.5109780439121756,0.015799678879621675
STUNT,2,-3,0.48303393213572854,0.01579438792265701
STUNT,6,-3,0.49500998003992014,0.015802701488241543
STUNT,10,-3,0.5,0.01580348853102535
TabNet,2,-3,0.5279441117764471,0.01577878818099048
TabNet,6,-3,0.47904191616766467,0.015789599338640676
TabNet,10,-3,0.5119760479041916,0.015798954627103883
FTTransformer,2,-3,0.4810379241516966,0.015792119827017913
FTTransformer,6,-3,0.4720558882235529,0.01577878818099048
FTTransformer,10,-3,0.49500998003992014,0.015802701488241543
