Model,num_rows,num_cols,acc,std
LR,1,-3,0.505,0.015818508944436743
LR,2,-3,0.713,0.014312087053810001
LR,3,-3,0.688,0.014658474370509057
LR,6,-3,0.715,0.01428212095520056
CatBoost,1,-3,0.505,0.015818508944436743
CatBoost,2,-3,0.708,0.014385511563477433
CatBoost,3,-3,0.694,0.0145800060554369
CatBoost,6,-3,0.712,0.014326941797231577
R_Forest,1,-3,0.505,0.015818508944436743
R_Forest,2,-3,0.676,0.014806864733738987
R_Forest,3,-3,0.655,0.015039986742055369
R_Forest,6,-3,0.712,0.014326941797231577
KNN,1,-3,0.505,0.015818508944436743
KNN,2,-3,0.726,0.014111099288259692
KNN,3,-3,0.723,0.014158794845306272
KNN,6,-3,0.747,0.013754278613587126
TabNet,1,-3,0.505,0.015818508944436743
TabNet,2,-3,0.5,0.015819299929208316
TabNet,3,-3,0.523,0.015802554246726087
TabNet,6,-3,0.605,0.015466551464829328
FTTransformer,1,-3,0.505,0.015818508944436743
FTTransformer,2,-3,0.691,0.014619600977206345
FTTransformer,3,-3,0.696,0.014553205687950535
FTTransformer,6,-3,0.733,0.013996674851796299
