model,num_rows,num_cols,acc,std
SVC,2,-3,0.717564870259481,0.014228951618612328
SVC,6,-3,0.7385229540918163,0.013889344350430242
SVC,10,-3,0.780439121756487,0.013083681296644998
LR,2,-3,0.716566866267465,0.014244153064979028
LR,6,-3,0.7125748502994012,0.01430410170875797
LR,10,-3,0.780439121756487,0.013083681296644998
CatBoost,2,-3,0.7065868263473054,0.01439148249525868
CatBoost,6,-3,0.7235528942115769,0.014135921590416987
CatBoost,10,-3,0.7524950099800399,0.013640388914010265
R_Forest,2,-3,0.6946107784431138,0.014557291306544005
R_Forest,6,-3,0.7255489021956087,0.014104210858974044
R_Forest,10,-3,0.7654690618762475,0.013392043546680577
KNN,2,-3,0.716566866267465,0.014244153064979028
KNN,6,-3,0.718562874251497,0.014213663910377478
KNN,10,-3,0.7435129740518962,0.013802569345880956
STUNT,2,-3,0.7115768463073853,0.014318875929999617
STUNT,6,-3,0.7415169660678643,0.013837560371118522
STUNT,10,-3,0.8003992015968064,0.012633317812872448
TabNet,2,-3,0.5119760479041916,0.015798954627103883
TabNet,6,-3,0.5968063872255489,0.015504455335711733
TabNet,10,-3,0.6447105788423154,0.015127128556099777
FTTransformer,2,-3,0.7125748502994012,0.01430410170875797
FTTransformer,6,-3,0.7245508982035929,0.014120110360735866
FTTransformer,10,-3,0.7594810379241517,0.013508778769894451
