model,num_rows,num_cols,acc,std
LR,2,-3,0.6836327345309381,0.01469908010226617
LR,6,-3,0.7904191616766467,0.012864339054600592
LR,10,-3,0.7954091816367266,0.012750327233454024
CatBoost,2,-3,0.6726546906187625,0.014831398700726764
CatBoost,6,-3,0.7504990019960079,0.013677104474712177
CatBoost,10,-3,0.7624750499001997,0.01345087068771498
R_Forest,2,-3,0.6696606786427146,0.01486587568435277
R_Forest,6,-3,0.7714570858283433,0.013271583011756568
R_Forest,10,-3,0.7754491017964071,0.013189156094347789
KNN,2,-3,0.6926147704590818,0.014583787688308467
KNN,6,-3,0.7724550898203593,0.01325113698516397
KNN,10,-3,0.7724550898203593,0.013251136985163968
TabNet,2,-3,0.5219560878243513,0.015788244409873555
TabNet,6,-3,0.6217564870259481,0.01532776622504566
TabNet,10,-3,0.655688622754491,0.015017839965440512
FTTransformer,2,-3,0.7085828343313373,0.014362691750086332
FTTransformer,6,-3,0.7594810379241517,0.013508778769894451
FTTransformer,10,-3,0.7644710578842315,0.013411755453975374
