model,num_rows,num_cols,acc,std
SVC,2,-3,0.5149700598802395,0.015796403734275908
SVC,6,-3,0.49600798403193613,0.01580298482815926
SVC,10,-3,0.4870259481037924,0.015798167358447277
LR,2,-3,0.5179640718562875,0.01579328541684991
LR,6,-3,0.5029940119760479,0.01580320520013866
LR,10,-3,0.5,0.01580348853102535
CatBoost,2,-3,0.5129740518962076,0.015798167358447277
CatBoost,6,-3,0.5059880239520959,0.015802355176998434
CatBoost,10,-3,0.49201596806387227,0.015801473623221905
R_Forest,2,-3,0.5029940119760479,0.01580320520013866
R_Forest,6,-3,0.5029940119760479,0.015803205200138656
R_Forest,10,-3,0.49101796407185627,0.01580093837014778
KNN,2,-3,0.5139720558882236,0.01579731706423051
KNN,6,-3,0.5069860279441117,0.01580194589028973
KNN,10,-3,0.49001996007984033,0.015800340124666207
STUNT,2,-3,0.5079840319361277,0.015801473623221905
STUNT,6,-3,0.49600798403193613,0.01580298482815926
STUNT,10,-3,0.49101796407185627,0.01580093837014778
TabNet,2,-3,0.5259481037924152,0.01578219307609962
TabNet,6,-3,0.5329341317365269,0.01576916853516604
TabNet,10,-3,0.5039920159680639,0.01580298482815926
FTTransformer,2,-3,0.5029940119760479,0.01580320520013866
FTTransformer,6,-3,0.5069860279441117,0.01580194589028973
FTTransformer,10,-3,0.501996007984032,0.015803362606813944
