Model,num_rows,num_cols,acc,std
LR,5,-3,0.521,0.015805341148131185
LR,10,-3,0.559,0.01570877989424277
LR,15,-3,0.576,0.015635487471405182
CatBoost,5,-3,0.537,0.015775927227262426
CatBoost,10,-3,0.578,0.015625625112620622
CatBoost,15,-3,0.603,0.015480007449307982
R_Forest,5,-3,0.532,0.015786868759359005
R_Forest,10,-3,0.555,0.015723301886761007
R_Forest,15,-3,0.599,0.01550610974549837
KNN,5,-3,0.533,0.015784807891138876
KNN,10,-3,0.562,0.015697210019694662
KNN,15,-3,0.581,0.015610338967577953
TabNet,5,-3,0.508,0.015817274929209084
TabNet,10,-3,0.51,0.015816135752773183
TabNet,15,-3,0.527,0.01579621855130273
FTTransformer,5,-3,0.527,0.01579621855130273
FTTransformer,10,-3,0.532,0.015786868759359005
FTTransformer,15,-3,0.555,0.015723301886761007
LR,3,-3,0.526,0.0157978977580428
CatBoost,3,-3,0.523,0.015802554246726087
R_Forest,3,-3,0.521,0.015805341148131185
KNN,3,-3,0.524,0.015801065586651862
TabNet,3,-3,0.52,0.015806639423035177
FTTransformer,3,-3,0.522,0.01580397942816194
