Model,num_rows,num_cols,acc,std
LR,5,-3,0.537,0.015775927227262426
LR,10,-3,0.565,0.015685057252717346
LR,15,-3,0.539,0.015771104201283047
CatBoost,5,-3,0.511,0.015815471195292575
CatBoost,10,-3,0.548,0.01574623586588058
CatBoost,15,-3,0.536,0.015778243024904673
R_Forest,5,-3,0.52,0.015806639423035177
R_Forest,10,-3,0.551,0.015736792768752048
R_Forest,15,-3,0.531,0.015788865959538965
KNN,5,-3,0.53,0.015790799515836722
KNN,10,-3,0.555,0.015723301886761007
KNN,15,-3,0.537,0.015775927227262426
TabNet,5,-3,0.508,0.015817274929209084
TabNet,10,-3,0.51,0.015816135752773183
TabNet,15,-3,0.503,0.015819015179246818
FTTransformer,5,-3,0.54,0.0157685969143944
FTTransformer,10,-3,0.545,0.015755101498347232
FTTransformer,15,-3,0.523,0.015802554246726087
LR,3,-3,0.508,0.015817274929209084
CatBoost,3,-3,0.505,0.015818508944436743
R_Forest,3,-3,0.488,0.01581474331458169
KNN,3,-3,0.499,0.015819268290576817
TabNet,3,-3,0.467,0.015784807891138876
FTTransformer,3,-3,0.499,0.015819268290576817
