Model,num_rows,num_cols,acc,std
LR,5,-3,0.765,0.013414729030247126
LR,10,-3,0.848,0.01135891830347525
LR,15,-3,0.853,0.011203415395160378
CatBoost,5,-3,0.75,0.013699915608779773
CatBoost,10,-3,0.842,0.011539894677559635
CatBoost,15,-3,0.839,0.011628164696727263
R_Forest,5,-3,0.732,0.014013292702729519
R_Forest,10,-3,0.852,0.011234866364235145
R_Forest,15,-3,0.843,0.011510146979230262
KNN,5,-3,0.769,0.013334797216936475
KNN,10,-3,0.841,0.011569479368271197
KNN,15,-3,0.827,0.011967214137559929
TabNet,5,-3,0.569,0.01566794448817344
TabNet,10,-3,0.648,0.01511040450564856
TabNet,15,-3,0.727,0.014095022868717515
FTTransformer,5,-3,0.738,0.013912208651021213
FTTransformer,10,-3,0.837,0.011686212712746913
FTTransformer,15,-3,0.83,0.011884495834541795
