Model,num_rows,num_cols,acc,std
LR,5,-3,0.668,0.014899597242811567
LR,10,-3,0.728,0.01407885699246264
LR,15,-3,0.784,0.013019735539307761
CatBoost,5,-3,0.665,0.014933117490932629
CatBoost,10,-3,0.73,0.01404625563263382
CatBoost,15,-3,0.805,0.01253523562331926
R_Forest,5,-3,0.649,0.015100563798316506
R_Forest,10,-3,0.745,0.013790038620872863
R_Forest,15,-3,0.808,0.01246159264666003
KNN,5,-3,0.703,0.01445683229480096
KNN,10,-3,0.761,0.013493000446937704
KNN,15,-3,0.823,0.012075463420375087
TabNet,5,-3,0.514,0.01581309754773093
TabNet,10,-3,0.62,0.015356947477797658
TabNet,15,-3,0.669,0.0148882725882038
FTTransformer,5,-3,0.686,0.014683991951088085
FTTransformer,10,-3,0.752,0.013663187134877523
FTTransformer,15,-3,0.812,0.012361586015103758
