Model,num_rows,num_cols,acc,std
LR,10,-3,0.701,0.014484778521220433
CatBoost,10,-3,0.702,0.014470846741134585
R_Forest,10,-3,0.685,0.014696631960792617
KNN,10,-3,0.693,0.01459328489285274
FTTransformer,10,-3,0.711,0.014341711358296287
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.744,0.013807775152234145
CatBoost,10,-3,5,0.724,0.014142984975740588
R_Forest,10,-3,5,0.747,0.013754278613587126
KNN,10,-3,5,0.757,0.013569640199177542
FTTransformer,10,-3,5,0.748,0.013736254390651213
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.736,0.01394627184944057
CatBoost,10,-3,3,0.738,0.013912208651021213
R_Forest,10,-3,3,0.756,0.013588548437881386
KNN,10,-3,3,0.745,0.013790038620872863
FTTransformer,10,-3,3,0.748,0.01373625439065121
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.607,0.015452824654081525
CatBoost,10,-3,1,0.59,0.015560917136921657
R_Forest,10,-3,1,0.549,0.015743152379585443
KNN,10,-3,1,0.61,0.01543172505386673
FTTransformer,10,-3,1,0.61,0.01543172505386673
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.713,0.014312087053810001
CatBoost,10,-3,4,0.72,0.014205696104091546
R_Forest,10,-3,4,0.737,0.013929286594259776
KNN,10,-3,4,0.725,0.014127086556490498
FTTransformer,10,-3,4,0.732,0.014013292702729519
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.701,0.014484778521220433
CatBoost,10,-3,2,0.702,0.014470846741134585
R_Forest,10,-3,2,0.685,0.014696631960792617
KNN,10,-3,2,0.693,0.01459328489285274
FTTransformer,10,-3,2,0.711,0.014341711358296287
