Model,num_rows,num_cols,acc,std
LR,1,-3,0.494,0.015818160898606833
LR,2,-3,0.645,0.015139491543780595
LR,3,-3,0.658,0.015008706182121804
LR,6,-3,0.696,0.014553205687950535
CatBoost,1,-3,0.494,0.015818160898606833
CatBoost,2,-3,0.638,0.015204840912919385
CatBoost,3,-3,0.666,0.014922019523732927
CatBoost,6,-3,0.685,0.014696631960792617
R_Forest,1,-3,0.494,0.015818160898606833
R_Forest,2,-3,0.614,0.015402637476784335
R_Forest,3,-3,0.64,0.015186527932039985
R_Forest,6,-3,0.679,0.014770821817934751
KNN,1,-3,0.494,0.015818160898606833
KNN,2,-3,0.654,0.015050266127564339
KNN,3,-3,0.662,0.014965960710224385
KNN,6,-3,0.684,0.014709193056057166
TabNet,1,-3,0.494,0.015818160898606833
TabNet,2,-3,0.479,0.015805341148131185
TabNet,3,-3,0.443,0.01571616995320418
TabNet,6,-3,0.533,0.015784807891138876
FTTransformer,1,-3,0.494,0.015818160898606833
FTTransformer,2,-3,0.647,0.015120172605483696
FTTransformer,3,-3,0.672,0.014853842487270312
FTTransformer,6,-3,0.698,0.014526080235459494
