model,num_rows,num_cols,acc,std
SVC,2,-3,0.6526946107784432,0.01504851813107452
SVC,6,-3,0.6906187624750499,0.014609963598726875
SVC,10,-3,0.6946107784431138,0.014557291306544007
LR,2,-3,0.6457085828343313,0.015117554974928676
LR,6,-3,0.6836327345309381,0.01469908010226617
LR,10,-3,0.717564870259481,0.014228951618612328
CatBoost,2,-3,0.656686626746507,0.015007467372007807
CatBoost,6,-3,0.6806387225548902,0.014736095120971604
CatBoost,10,-3,0.7105788423153693,0.014333565504404334
R_Forest,2,-3,0.654690618762475,0.015028139189513226
R_Forest,6,-3,0.6866267465069861,0.014661360850420094
R_Forest,10,-3,0.7065868263473054,0.01439148249525868
KNN,2,-3,0.6387225548902196,0.015183067122208628
KNN,6,-3,0.6846307385229541,0.014686585532310451
KNN,10,-3,0.7115768463073853,0.014318875929999617
STUNT,2,-3,0.6407185628742516,0.015164706319110186
STUNT,6,-3,0.7075848303393214,0.014377128933713386
STUNT,10,-3,0.7285429141716567,0.014055979717405354
TabNet,2,-3,0.49600798403193613,0.01580298482815926
TabNet,6,-3,0.5508982035928144,0.0157213934070859
TabNet,10,-3,0.5718562874251497,0.015639439947632356
FTTransformer,2,-3,0.6516966067864272,0.01505859814562341
FTTransformer,6,-3,0.6966067864271457,0.01453047270029082
FTTransformer,10,-3,0.7155688622754491,0.014259268525362374
TabPFN,2,-3,0.6506986027944112,0.01506860538495732
TabPFN,6,-3,0.6636726546906188,0.01493279189678517
TabPFN,10,-3,0.6936127744510978,0.014570579665118709
