Model,num_rows,num_cols,acc,std
LR,10,-3,0.774,0.013232501619085452
CatBoost,10,-3,0.705,0.014428554438445427
R_Forest,10,-3,0.674,0.014830507204541049
KNN,10,-3,0.792,0.01284137457209706
FTTransformer,10,-3,0.81,0.012411851354816253
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.903,0.009363689373248062
CatBoost,10,-3,5,0.827,0.011967214137559929
R_Forest,10,-3,5,0.873,0.010534798620855644
KNN,10,-3,5,0.869,0.0106748748448379
FTTransformer,10,-3,5,0.885,0.010093407594904551
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.834,0.011772110370812133
CatBoost,10,-3,3,0.779,0.013127502859696178
R_Forest,10,-3,3,0.799,0.012679107214617276
KNN,10,-3,3,0.819,0.012181436179178025
FTTransformer,10,-3,3,0.861,0.010945263761042894
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.583,0.015599819048769581
CatBoost,10,-3,1,0.568,0.015672320237336324
R_Forest,10,-3,1,0.508,0.015817274929209084
KNN,10,-3,1,0.709,0.014370995982378032
FTTransformer,10,-3,1,0.678,0.014782913600996744
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.903,0.009363689373248062
CatBoost,10,-3,4,0.841,0.011569479368271195
R_Forest,10,-3,4,0.853,0.011203415395160378
KNN,10,-3,4,0.85,0.011297239823409416
FTTransformer,10,-3,4,0.889,0.009938701010583717
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.774,0.013232501619085452
CatBoost,10,-3,2,0.705,0.014428554438445427
R_Forest,10,-3,2,0.674,0.014830507204541049
KNN,10,-3,2,0.792,0.01284137457209706
FTTransformer,10,-3,2,0.81,0.012411851354816253
