Model,num_rows,num_cols,acc,std
LR,10,-3,0.555,0.015723301886761007
CatBoost,10,-3,0.557,0.015716169953204184
R_Forest,10,-3,0.537,0.015775927227262426
KNN,10,-3,0.576,0.015635487471405182
FTTransformer,10,-3,0.558,0.015712507211864152
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.615,0.015395194445410947
CatBoost,10,-3,5,0.601,0.015493193313163008
R_Forest,10,-3,5,0.605,0.01546655146482933
KNN,10,-3,5,0.628,0.015292149942040518
FTTransformer,10,-3,5,0.592,0.015549205052920801
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.592,0.015549205052920803
CatBoost,10,-3,3,0.577,0.015630589090476255
R_Forest,10,-3,3,0.571,0.01565899754787018
KNN,10,-3,3,0.61,0.01543172505386673
FTTransformer,10,-3,3,0.573,0.01564978964446219
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.49,0.015816135752773183
CatBoost,10,-3,1,0.501,0.015819268290576817
R_Forest,10,-3,1,0.488,0.01581474331458169
KNN,10,-3,1,0.524,0.015801065586651862
FTTransformer,10,-3,1,0.505,0.015818508944436743
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.58,0.015615500115072968
CatBoost,10,-3,4,0.547,0.015749255189977687
R_Forest,10,-3,4,0.55,0.015740004693383918
KNN,10,-3,4,0.576,0.015635487471405182
FTTransformer,10,-3,4,0.545,0.015755101498347232
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.555,0.015723301886761007
CatBoost,10,-3,2,0.557,0.015716169953204184
R_Forest,10,-3,2,0.537,0.015775927227262426
KNN,10,-3,2,0.576,0.015635487471405182
FTTransformer,10,-3,2,0.558,0.015712507211864152
