Model,num_rows,num_cols,acc,std
LR,5,-3,0.524,0.015801065586651862
LR,10,-3,0.556,0.01571976816340213
LR,15,-3,0.593,0.015543249100255476
CatBoost,5,-3,0.537,0.015775927227262426
CatBoost,10,-3,0.548,0.01574623586588058
CatBoost,15,-3,0.563,0.015693223928730425
R_Forest,5,-3,0.532,0.015786868759359005
R_Forest,10,-3,0.548,0.01574623586588058
R_Forest,15,-3,0.575,0.01564032031704017
KNN,5,-3,0.528,0.015794475789511517
KNN,10,-3,0.56,0.015704987954361718
KNN,15,-3,0.609,0.015438826294681773
TabNet,5,-3,0.53,0.015790799515836722
TabNet,10,-3,0.553,0.0157301760460091
TabNet,15,-3,0.558,0.015712507211864152
FTTransformer,5,-3,0.525,0.01579951342999602
FTTransformer,10,-3,0.552,0.01573351656634789
FTTransformer,15,-3,0.578,0.015625625112620622
LR,3,-3,0.513,0.01581395210189664
CatBoost,3,-3,0.518,0.01580904569940659
R_Forest,3,-3,0.503,0.015819015179246818
KNN,3,-3,0.516,0.015811198373114985
TabNet,3,-3,0.517,0.015810153729833274
FTTransformer,3,-3,0.515,0.01581217964181488
