Model,num_rows,num_cols,acc,std
LR,10,-3,0.488,0.01581474331458169
CatBoost,10,-3,0.49,0.015816135752773183
R_Forest,10,-3,0.512,0.01581474331458169
KNN,10,-3,0.518,0.01580904569940659
FTTransformer,10,-3,0.491,0.015816736995005295
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.509,0.015816736995005295
CatBoost,10,-3,5,0.493,0.01581774956184353
R_Forest,10,-3,5,0.498,0.01581917337430266
KNN,10,-3,5,0.483,0.015810153729833274
FTTransformer,10,-3,5,0.48,0.015806639423035177
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.495,0.01581850894443674
CatBoost,10,-3,3,0.513,0.01581395210189664
R_Forest,10,-3,3,0.506,0.015818160898606833
KNN,10,-3,3,0.506,0.015818160898606833
FTTransformer,10,-3,3,0.484,0.015811198373114985
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.487,0.01581395210189664
CatBoost,10,-3,1,0.497,0.015819015179246818
R_Forest,10,-3,1,0.497,0.015819015179246818
KNN,10,-3,1,0.487,0.01581395210189664
FTTransformer,10,-3,1,0.502,0.01581917337430266
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.51,0.015816135752773183
CatBoost,10,-3,4,0.481,0.015807874268505835
R_Forest,10,-3,4,0.493,0.01581774956184353
KNN,10,-3,4,0.488,0.01581474331458169
FTTransformer,10,-3,4,0.504,0.01581879370351084
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.488,0.01581474331458169
CatBoost,10,-3,2,0.49,0.015816135752773183
R_Forest,10,-3,2,0.512,0.01581474331458169
KNN,10,-3,2,0.518,0.01580904569940659
FTTransformer,10,-3,2,0.491,0.015816736995005295
