Model,num_rows,num_cols,acc,std
LR,5,-3,0.608,0.01544585946377134
LR,10,-3,0.739,0.013895037677965185
CatBoost,5,-3,0.613,0.015410011955494015
CatBoost,10,-3,0.712,0.014326941797231577
R_Forest,5,-3,0.601,0.015493193313163008
R_Forest,10,-3,0.727,0.014095022868717515
KNN,5,-3,0.664,0.014944140233794895
KNN,10,-3,0.797,0.01272607374459825
TabNet,5,-3,0.529,0.015792669451628764
TabNet,10,-3,0.594,0.015537226438634581
FTTransformer,5,-3,0.673,0.014842213153411162
FTTransformer,10,-3,0.776,0.013190830072364589
