Model,num_rows,num_cols,acc,std
LR,5,-3,0.566,0.01568087656637504
LR,10,-3,0.582,0.015605111967541904
LR,15,-3,0.63,0.015275252316519466
CatBoost,5,-3,0.553,0.0157301760460091
CatBoost,10,-3,0.592,0.015549205052920801
CatBoost,15,-3,0.63,0.015275252316519466
R_Forest,5,-3,0.554,0.015726771166750392
R_Forest,10,-3,0.605,0.015466551464829328
R_Forest,15,-3,0.66,0.014987482264363973
KNN,5,-3,0.581,0.015610338967577953
KNN,10,-3,0.533,0.015784807891138876
KNN,15,-3,0.593,0.015543249100255476
TabNet,5,-3,0.498,0.01581917337430266
TabNet,10,-3,0.546,0.01575221038877186
TabNet,15,-3,0.554,0.015726771166750392
FTTransformer,5,-3,0.617,0.015380102325652699
FTTransformer,10,-3,0.673,0.014842213153411162
FTTransformer,15,-3,0.725,0.0141270865564905
