Model,num_rows,num_cols,acc,std
LR,10,-3,0.589,0.015566673418599151
CatBoost,10,-3,0.619,0.01536473478700739
R_Forest,10,-3,0.606,0.015459721957493382
KNN,10,-3,0.714,0.014297146862518003
FTTransformer,10,-3,0.576,0.015635487471405182
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.783,0.013041513757270706
CatBoost,10,-3,5,0.672,0.014853842487270312
R_Forest,10,-3,5,0.731,0.014029819522568201
KNN,10,-3,5,0.753,0.013644675781314012
FTTransformer,10,-3,5,0.72,0.014205696104091546
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.684,0.014709193056057165
CatBoost,10,-3,3,0.66,0.014987482264363973
R_Forest,10,-3,3,0.654,0.015050266127564339
KNN,10,-3,3,0.726,0.014111099288259692
FTTransformer,10,-3,3,0.681,0.014746404865473359
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.495,0.01581850894443674
CatBoost,10,-3,1,0.51,0.015816135752773183
R_Forest,10,-3,1,0.493,0.01581774956184353
KNN,10,-3,1,0.631,0.01526669813915478
FTTransformer,10,-3,1,0.508,0.015817274929209084
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.782,0.013063179040595237
CatBoost,10,-3,4,0.711,0.014341711358296287
R_Forest,10,-3,4,0.741,0.013860415257527861
KNN,10,-3,4,0.752,0.013663187134877523
FTTransformer,10,-3,4,0.699,0.01451239503354321
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.589,0.015566673418599151
CatBoost,10,-3,2,0.619,0.01536473478700739
R_Forest,10,-3,2,0.606,0.015459721957493382
KNN,10,-3,2,0.714,0.014297146862518003
FTTransformer,10,-3,2,0.576,0.015635487471405182
