Model,num_rows,num_cols,acc,std
LR,10,-3,0.576,0.015635487471405182
CatBoost,10,-3,0.63,0.015275252316519466
R_Forest,10,-3,0.577,0.015630589090476255
KNN,10,-3,0.612,0.015417317979911216
FTTransformer,10,-3,0.616,0.01538768276189696
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.796,0.01274937435902431
CatBoost,10,-3,5,0.763,0.013454070462577935
R_Forest,10,-3,5,0.765,0.013414729030247126
KNN,10,-3,5,0.69,0.014632638658632765
FTTransformer,10,-3,5,0.741,0.013860415257527861
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.68,0.014758652303574937
CatBoost,10,-3,3,0.702,0.014470846741134585
R_Forest,10,-3,3,0.688,0.014658474370509057
KNN,10,-3,3,0.662,0.014965960710224385
FTTransformer,10,-3,3,0.712,0.014326941797231577
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.52,0.015806639423035177
CatBoost,10,-3,1,0.54,0.0157685969143944
R_Forest,10,-3,1,0.526,0.0157978977580428
KNN,10,-3,1,0.579,0.015620595475301285
FTTransformer,10,-3,1,0.538,0.015773547629015002
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.758,0.013550631705556005
CatBoost,10,-3,4,0.718,0.01423652621529138
R_Forest,10,-3,4,0.749,0.013718133516888775
KNN,10,-3,4,0.664,0.014944140233794895
FTTransformer,10,-3,4,0.734,0.013979965645145179
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.576,0.015635487471405182
CatBoost,10,-3,2,0.63,0.015275252316519466
R_Forest,10,-3,2,0.577,0.015630589090476255
KNN,10,-3,2,0.612,0.015417317979911216
FTTransformer,10,-3,2,0.616,0.01538768276189696
