Model,num_rows,num_cols,acc,std
LR,10,-3,0.685,0.014696631960792617
CatBoost,10,-3,0.689,0.014645596385722692
R_Forest,10,-3,0.678,0.014782913600996744
KNN,10,-3,0.682,0.014734079309311905
FTTransformer,10,-3,0.682,0.014734079309311903
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.757,0.013569640199177542
CatBoost,10,-3,5,0.753,0.013644675781314012
R_Forest,10,-3,5,0.771,0.013294199326613682
KNN,10,-3,5,0.69,0.014632638658632765
FTTransformer,10,-3,5,0.745,0.013790038620872863
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.712,0.014326941797231577
CatBoost,10,-3,3,0.717,0.01425181090648182
R_Forest,10,-3,3,0.722,0.014174516461485273
KNN,10,-3,3,0.668,0.014899597242811567
FTTransformer,10,-3,3,0.677,0.01479492784334854
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.604,0.015473313265859495
CatBoost,10,-3,1,0.594,0.015537226438634581
R_Forest,10,-3,1,0.571,0.01565899754787018
KNN,10,-3,1,0.603,0.015480007449307982
FTTransformer,10,-3,1,0.586,0.01558354410417755
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.746,0.01377220656516862
CatBoost,10,-3,4,0.753,0.013644675781314012
R_Forest,10,-3,4,0.767,0.013374972519219989
KNN,10,-3,4,0.708,0.014385511563477433
FTTransformer,10,-3,4,0.763,0.013454070462577935
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.685,0.014696631960792617
CatBoost,10,-3,2,0.689,0.014645596385722692
R_Forest,10,-3,2,0.678,0.014782913600996744
KNN,10,-3,2,0.682,0.014734079309311905
FTTransformer,10,-3,2,0.682,0.014734079309311903
