model,num_rows,num_cols,acc,std
SVC,2,-3,0.6946107784431138,0.014557291306544007
SVC,6,-3,0.689620758483034,0.014622931915813068
SVC,10,-3,0.7255489021956087,0.014104210858974044
LR,2,-3,0.6916167664670658,0.014596915594187769
LR,6,-3,0.6976047904191617,0.014516942005746285
LR,10,-3,0.7225548902195609,0.014151644843889054
CatBoost,2,-3,0.687624750499002,0.01464863033288634
CatBoost,6,-3,0.7045908183632734,0.01441993974949504
CatBoost,10,-3,0.7285429141716567,0.014055979717405354
R_Forest,2,-3,0.687624750499002,0.01464863033288634
R_Forest,6,-3,0.689620758483034,0.014622931915813068
R_Forest,10,-3,0.7385229540918163,0.013889344350430242
KNN,2,-3,0.6866267465069861,0.014661360850420092
KNN,6,-3,0.6676646706586826,0.01488848183400826
KNN,10,-3,0.688622754491018,0.014635820757271602
STUNT,2,-3,0.6836327345309381,0.01469908010226617
STUNT,6,-3,0.7295409181636726,0.01403972410824168
STUNT,10,-3,0.7514970059880239,0.01365879545515541
TabNet,2,-3,0.4750499001996008,0.015783800687913997
TabNet,6,-3,0.5339321357285429,0.015767054580825963
TabNet,10,-3,0.591816367265469,0.015534748993012297
FTTransformer,2,-3,0.6616766467065869,0.014954498483226669
FTTransformer,6,-3,0.687624750499002,0.01464863033288634
FTTransformer,10,-3,0.7045908183632734,0.01441993974949504
