model,num_rows,num_cols,acc,std
SVC,2,-3,0.689620758483034,0.014622931915813068
SVC,6,-3,0.717564870259481,0.014228951618612328
SVC,10,-3,0.7285429141716567,0.014055979717405354
LR,2,-3,0.6736526946107785,0.014819754267121904
LR,6,-3,0.7315369261477046,0.014006943184460328
LR,10,-3,0.7295409181636726,0.01403972410824168
CatBoost,2,-3,0.6756487025948104,0.01479623616573106
CatBoost,6,-3,0.7485029940119761,0.013713431509411511
CatBoost,10,-3,0.7415169660678643,0.013837560371118522
R_Forest,2,-3,0.6606786427145709,0.014965240237298005
R_Forest,6,-3,0.7504990019960079,0.013677104474712177
R_Forest,10,-3,0.7405189620758483,0.013854915020011667
KNN,2,-3,0.6836327345309381,0.01469908010226617
KNN,6,-3,0.6956087824351297,0.014543922392384057
KNN,10,-3,0.6826347305389222,0.014711496425377722
STUNT,2,-3,0.6477045908183633,0.01509819189349265
STUNT,6,-3,0.7504990019960079,0.013677104474712175
STUNT,10,-3,0.7315369261477046,0.01400694318446033
TabNet,2,-3,0.45209580838323354,0.015730789258484434
TabNet,6,-3,0.5838323353293413,0.015579775676918003
TabNet,10,-3,0.6157684630738522,0.015374046365738017
FTTransformer,2,-3,0.6796407185628742,0.014748277883660876
FTTransformer,6,-3,0.7245508982035929,0.014120110360735866
FTTransformer,10,-3,0.7375249500998003,0.013906419725095199
TabPFN,2,-3,0.6726546906187625,0.014831398700726764
TabPFN,6,-3,0.7385229540918163,0.013889344350430242
TabPFN,10,-3,0.7395209580838323,0.01387217623032658
